연도,지사,동물종류,건수
2004,광주대구선,오소리,4
2005,통영대전선,오소리,4
2005,중앙선,삵,7
2006,대구포항선,족제비,1
2004,중부내륙선,족제비,3
2013,호남선의지선,고라니,48
2012,경부선,고라니,128
2013,광주대구선,너구리,5
2012,남해선(영암순천),너구리,12
2013,평택제천선,고라니,26
2012,중부내륙선,고라니,61
2012,광주대구선,멧토끼,1
2012,순천완주선,고라니,16
2012,고창담양선,고라니,4
2013,서울외곽순환선,고라니,3
2013,순천완주선,고라니,17
2014,호남선의지선,고라니,56
2014,중앙선,고라니,405
2015,당진대전선,고라니,314
2014,남해제1지선,고라니,6
2014,서해안선,삵,2
2014,남해선(영암순천),너구리,4
2015,논산천안선,호남선,오소리,1
2014,논산천안선,호남선,너구리,10
2015,대구포항선,고라니,3
2015,제2중부선,고라니,33
2016,영동선,고라니,68
2016,통영대전선,멧돼지,10
2015,서해안선,오소리,1
2016,익산장수선,고라니,12
2016,중앙선,멧토끼,5
2016,순천완주선,너구리,4
2017,동해선,멧토끼,2
2010,호남선의지선,너구리,3
2010,논산천안선,호남선,멧토끼,2
2009,제2중부선,족제비,1
2009,중앙선,삵,1
2009,서천공주선,삵,11
2008,중앙선,오소리,5
2009,청주상주선,삵,2
2009,익산장수선,멧토끼,3
2009,서해안선,오소리,3
2008,중부내륙선,멧토끼,3
2007,중부내륙선,족제비,1
2007,영동선,노루,2
2006,광주대구선,멧토끼,13
2006,경부선,노루,4
2006,제2중부선,너구리,3
2013,영동선,오소리,8
2011,중앙선,삵,2
2012,호남선의지선,삵,4
2013,중앙선,멧돼지,5
2014,중앙선,너구리,18
2014,당진대전선,멧토끼,1
2015,서천공주선,기타,2
2017,평택제천선,고라니,7
2017,상주영덕선,멧돼지,2
2017,통영대전선,기타,1
2016,순천완주선,오소리,4
2016,평택화성선,고라니,1
2017,당진대전선,멧돼지,1
2007,호남선의지선,삵,1
2011,평택제천선,족제비,1
2011,고창담양선,족제비,2
2009,서해안선,멧토끼,6
2009,서해안선,족제비,2
2008,청주상주선,삵,9
2004,논산천안선,호남선,족제비,5
2004,울산선,노루,4
2013,중앙선,기타,1
2011,익산장수선,너구리,2
2013,중앙선,삵,2
2013,중부내륙지선,고라니,7
2012,논산천안선,호남선,삵,1
2014,중앙선,기타,5
2015,영동선,기타,13
2014,통영대전선,멧돼지,7
2015,논산천안선,호남선,삵,1
